Stock,Initial_Buy_Date,Initial_Qty,Initial_Price,Initial_Value,Dec 31 2025 Qty,Dec 31 2025 Price,Dec 31 2025 Value
ADBL,"Jan 01, 2013",15,238.0,3570.0,0,298.0,0.0
AHPC,"Jan 01, 2013",15,322.0,4830.0,154,277.4,42719.6
ALICL,"Jan 01, 2013",15,239.0,3585.0,0,467.8,0.0
BPCL,"Jan 01, 2013",15,805.0,12075.0,63,741.9,46739.7
CFCL,"May 22, 2014",15,197.0,2955.0,91,477.0,43407.0
CHCL,"Jan 01, 2013",15,1150.0,17250.0,86,506.9,43593.4
CIT,"Jan 01, 2013",15,1400.0,21000.0,0,1844.0,0.0
CORBL,"Nov 27, 2013",15,104.0,1560.0,0,1619.0,0.0
CZBIL,"Jan 01, 2013",15,285.0,4275.0,0,197.0,0.0
EBL,"Jan 01, 2013",15,1359.0,20385.0,61,663.0,40443.0
EDBL,"Jan 30, 2013",15,273.0,4095.0,0,577.4,0.0
GBBL,"Jan 01, 2013",15,180.0,2700.0,0,388.0,0.0
GBIME,"Jan 01, 2013",15,411.0,6165.0,0,228.0,0.0
GFCL,"Jul 29, 2013",15,106.0,1590.0,75,588.0,44100.0
GMFIL,"Feb 04, 2013",15,198.0,2970.0,88,459.9,40471.2
HBL,"Jan 01, 2013",15,805.0,12075.0,0,190.6,0.0
ICFC,"Jan 01, 2013",45,126.67,5700.0,0,635.0,0.0
JBBL,"Jan 02, 2013",165,79.64,13140.0,0,326.3,0.0
JFL,"Jan 03, 2013",60,274.0,16440.0,64,412.0,26368.0
KBL,"Jan 01, 2013",15,282.0,4230.0,0,180.2,0.0
LICN,"Jan 02, 2013",75,952.6,71445.0,0,905.0,0.0
MBL,"Jan 01, 2013",15,230.0,3450.0,214,224.8,48107.2
NABBC,"Nov 28, 2013",15,427.0,6405.0,28,1152.0,32256.0
NABIL,"Jan 01, 2013",15,1660.0,24900.0,0,496.7,0.0
NHPC,"Apr 17, 2013",30,55.0,1650.0,249,190.9,47534.1
NMB,"Jan 01, 2013",15,270.0,4050.0,186,238.2,44305.2
PCBL,"Jan 01, 2013",15,320.0,4800.0,179,263.3,47130.7
PROFL,"Apr 21, 2014",15,125.0,1875.0,0,453.8,0.0
SANIMA,"Jan 01, 2013",30,265.5,7965.0,128,322.0,41216.0
SBI,"Jan 01, 2013",15,854.0,12810.0,112,407.9,45684.8
CASH,-,0,0.0,60.0,0,0.0,591443.57
TOTAL,-,765,,300000.0,1778,,1225519.47
