Date,Stock Name,Action,Quantity,Price,Total Amount,Cash In Hand,TMS Khata Value,Portfolio Value,Profit/Loss,Gain/Loss Percentage,Exact Reason for Buy/Sell
"Jan 01, 2015",ADBL,SELL,15,479.0,7185.0,(60.0 + 7185.0 = 7245.0),296370.0,565500.0,3615.0,101.26%,Take Profit Triggered: +101.26% gain achieved.
"Jan 01, 2015",ALICL,SELL,15,1112.0,16680.0,23925.0,292785.0,565500.0,13095.0,365.27%,Take Profit Triggered: +365.27% gain achieved.
"Jan 01, 2015",BPCL,SELL,15,555.0,8325.0,32250.0,280710.0,565500.0,-3750.0,-31.06%,Stop-loss activated after 15% downside protection threshold.
"Jan 01, 2015",CIT,SELL,15,2980.0,44700.0,76950.0,259710.0,565500.0,23700.0,112.86%,Take Profit Triggered: +112.86% gain achieved.
"Jan 01, 2015",EDBL,SELL,15,510.0,7650.0,84600.0,255615.0,565500.0,3555.0,86.81%,Take Profit Triggered: +86.81% gain achieved.
"Jan 01, 2015",GBBL,SELL,15,308.0,4620.0,89220.0,252915.0,565500.0,1920.0,71.11%,Take Profit Triggered: +71.11% gain achieved.
"Jan 01, 2015",ICFC,SELL,45,237.0,10665.0,99885.0,247215.0,565500.0,4965.0,87.11%,Take Profit Triggered: +87.11% gain achieved.
"Jan 01, 2015",JBBL,SELL,165,149.0,24585.0,124470.0,234075.0,565500.0,11445.0,87.10%,Take Profit Triggered: +87.10% gain achieved.
"Jan 01, 2015",LICN,SELL,75,3080.0,231000.0,355470.0,162630.0,565500.0,159555.0,223.33%,Take Profit Triggered: +223.33% gain achieved.
"Jan 01, 2015",MBL,SELL,15,550.0,8250.0,363720.0,159180.0,565500.0,4800.0,139.13%,Take Profit Triggered: +139.13% gain achieved.
"Jan 01, 2015",NHPC,SELL,30,123.0,3690.0,367410.0,157530.0,565500.0,2040.0,123.64%,Take Profit Triggered: +123.64% gain achieved.
"Jan 01, 2015",SANIMA,SELL,30,526.0,15780.0,383190.0,149565.0,565500.0,7815.0,98.12%,Take Profit Triggered: +98.12% gain achieved.
"Jan 04, 2015",CFCL,SELL,15,153.0,2295.0,385485.0,146610.0,566835.0,-660.0,-22.34%,Stop-loss activated after 15% downside protection threshold.
