Stock,Start Price (2015),End Price (2025),Peak Price,Total Growth %,Max Potential %
CORBL,147.0,1580.0,2749.0,974.83,1770.07
NABBC,295.0,1137.2,1995.78,285.49,576.54
PROFL,144.0,453.0,801.9,214.58,456.87
CFCL,153.0,477.0,800.0,211.76,422.88
ICFC,237.0,636.5,1176.8,168.57,396.54
GFCL,253.0,584.8,1330.0,131.15,425.69
JBBL,149.0,323.9,623.0,117.38,318.12
GMFIL,218.0,459.8,745.0,110.92,241.74
NHPC,123.0,190.0,498.0,54.47,304.88
BPCL,555.0,727.0,1033.28,30.99,86.18
GBBL,308.0,382.6,720.0,24.22,133.77
EDBL,510.0,589.0,1170.0,15.49,129.41
JFL,358.0,411.0,1072.3,14.8,199.53
AHPC,360.0,275.0,775.0,-23.61,115.28
CIT,2980.0,1837.0,5480.0,-38.36,83.89
ADBL,479.0,294.4,1082.0,-38.54,125.89
SANIMA,526.0,319.9,929.0,-39.18,76.62
PCBL,434.0,262.4,914.0,-39.54,110.6
NMB,479.0,237.0,927.0,-50.52,93.53
KBL,384.0,180.0,626.0,-53.12,63.02
GBIME,497.0,229.9,600.0,-53.74,20.72
CZBIL,426.0,195.8,838.0,-54.04,96.71
ALICL,1112.0,464.5,1886.0,-58.23,69.6
SBI,960.0,395.0,2088.0,-58.85,117.5
MBL,550.0,221.9,923.0,-59.65,67.82
EBL,1908.0,657.5,3795.0,-65.54,98.9
CHCL,1672.0,501.5,1750.0,-70.01,4.67
LICN,3080.0,895.0,4238.0,-70.94,37.6
NABIL,1875.0,506.5,2700.0,-72.99,44.0
HBL,760.0,189.1,1695.0,-75.12,123.03
