Date,Stock Name,Action,Quantity,Price,Amount,Cash,TMS Khata Value,Portfolio Value,Profit/Loss,Gain %,Reason
"Jan 01, 2015",ADBL,SELL,15,479.0,7185.0,(60.0 + 7185.0 = 7245.0),596310.0,865440.0,3615.0,+101.26%,[Profit Booking] Target Achieved: +101.26% gain. (Market Health: 33.3%)
"Jan 01, 2015",ALICL,SELL,15,1112.0,16680.0,23925.0,592725.0,865440.0,13095.0,+365.27%,[Profit Booking] Target Achieved: +365.27% gain. (Market Health: 33.3%)
"Jan 01, 2015",BPCL,SELL,15,555.0,8325.0,32250.0,580650.0,865440.0,-3750.0,-31.06%,[Stop Loss] Stop-Loss hit at -31.06%. (Market Health: 33.3%)
"Jan 01, 2015",CIT,SELL,15,2980.0,44700.0,76950.0,559650.0,865440.0,23700.0,+112.86%,[Profit Booking] Target Achieved: +112.86% gain. (Market Health: 33.3%)
"Jan 01, 2015",LICN,SELL,75,3080.0,231000.0,307950.0,488205.0,865440.0,159555.0,+223.33%,[Profit Booking] Target Achieved: +223.33% gain. (Market Health: 33.3%)
"Jan 01, 2015",MBL,SELL,15,550.0,8250.0,316200.0,484755.0,865440.0,4800.0,+139.13%,[Profit Booking] Target Achieved: +139.13% gain. (Market Health: 33.3%)
"Jan 01, 2015",NHPC,SELL,30,123.0,3690.0,319890.0,483105.0,865440.0,2040.0,+123.64%,[Profit Booking] Target Achieved: +123.64% gain. (Market Health: 33.3%)
"Jan 04, 2015",CFCL,SELL,15,153.0,2295.0,322185.0,480150.0,864465.0,-660.0,-22.34%,[Stop Loss] Stop-Loss hit at -22.34%. (Market Health: 39.1%)
"Jan 04, 2015",SANIMA,SELL,30,540.0,16200.0,338385.0,472185.0,864465.0,8235.0,+103.39%,[Profit Booking] Target Achieved: +103.39% gain. (Market Health: 39.1%)
"Jan 05, 2015",MBL,BUY,80,560.0,44800.0,293585.0,516985.0,863730.0,0.0,0.00%,"[Quant Buy] Confidence 75/100: Strong Uptrend, Stable RSI, Positive Momentum, Volume Breakout (Market Health: 47.6%)"
