Stock,Buy_Date,Buy_Price,Quantity,Invested_Amount
ICFC,"Jan 01, 2013",132.0,15,1980.0
GBBL,"Jan 01, 2013",180.0,15,2700.0
MBL,"Jan 01, 2013",230.0,15,3450.0
ADBL,"Jan 01, 2013",238.0,15,3570.0
ALICL,"Jan 01, 2013",239.0,15,3585.0
NMB,"Jan 01, 2013",270.0,15,4050.0
SANIMA,"Jan 01, 2013",273.0,15,4095.0
KBL,"Jan 01, 2013",282.0,15,4230.0
CZBIL,"Jan 01, 2013",285.0,15,4275.0
PCBL,"Jan 01, 2013",320.0,15,4800.0
AHPC,"Jan 01, 2013",322.0,15,4830.0
GBIME,"Jan 01, 2013",411.0,15,6165.0
BPCL,"Jan 01, 2013",805.0,15,12075.0
HBL,"Jan 01, 2013",805.0,15,12075.0
SBI,"Jan 01, 2013",854.0,15,12810.0
CHCL,"Jan 01, 2013",1150.0,15,17250.0
EBL,"Jan 01, 2013",1359.0,15,20385.0
CIT,"Jan 01, 2013",1400.0,15,21000.0
NABIL,"Jan 01, 2013",1660.0,15,24900.0
JBBL,"Jan 02, 2013",85.0,15,1275.0
LICN,"Jan 02, 2013",887.0,15,13305.0
LICN,"Jan 02, 2013",887.0,15,13305.0
JFL,"Jan 03, 2013",277.0,15,4155.0
JBBL,"Jan 03, 2013",81.0,15,1215.0
JFL,"Jan 03, 2013",277.0,15,4155.0
LICN,"Jan 03, 2013",958.0,15,14370.0
JBBL,"Jan 06, 2013",80.0,15,1200.0
JFL,"Jan 06, 2013",272.0,15,4080.0
LICN,"Jan 06, 2013",996.0,15,14940.0
JBBL,"Jan 07, 2013",81.0,15,1215.0
JFL,"Jan 07, 2013",270.0,15,4050.0
LICN,"Jan 07, 2013",1035.0,15,15525.0
JBBL,"Jan 08, 2013",79.0,15,1185.0
JBBL,"Jan 09, 2013",78.0,15,1170.0
ICFC,"Jan 09, 2013",125.0,15,1875.0
JBBL,"Jan 10, 2013",80.0,15,1200.0
JBBL,"Jan 13, 2013",78.0,15,1170.0
JBBL,"Jan 15, 2013",78.0,15,1170.0
ICFC,"Jan 17, 2013",123.0,15,1845.0
SANIMA,"Jan 17, 2013",258.0,15,3870.0
JBBL,"Jan 21, 2013",78.0,15,1170.0
JBBL,"Jan 22, 2013",78.0,15,1170.0
EDBL,"Jan 30, 2013",273.0,15,4095.0
GMFIL,"Feb 04, 2013",198.0,15,2970.0
NHPC,"Apr 17, 2013",55.0,15,825.0
NHPC,"May 05, 2013",55.0,15,825.0
GFCL,"Jul 29, 2013",106.0,15,1590.0
CORBL,"Nov 27, 2013",104.0,15,1560.0
NABBC,"Nov 28, 2013",427.0,15,6405.0
PROFL,"Apr 21, 2014",125.0,15,1875.0
CFCL,"May 22, 2014",197.0,15,2955.0
