Stock,Starting Price (2013),Cost for 15 Shares
ADBL,238.00,3570.00
AHPC,322.00,4830.00
ALICL,239.00,3585.00
BPCL,805.00,12075.00
CFCL,197.00,2955.00
CHCL,1150.00,17250.00
CIT,1400.00,21000.00
CORBL,104.00,1560.00
CZBIL,285.00,4275.00
EBL,1359.00,20385.00
EDBL,273.00,4095.00
GBBL,180.00,2700.00
GBIME,411.00,6165.00
GFCL,106.00,1590.00
GMFIL,198.00,2970.00
HBL,805.00,12075.00
ICFC,132.00,1980.00
JBBL,85.00,1275.00
JFL,277.00,4155.00
KBL,282.00,4230.00
LICN,887.00,13305.00
MBL,230.00,3450.00
NABBC,427.00,6405.00
NABIL,1660.00,24900.00
NHPC,55.00,825.00
NMB,270.00,4050.00
PCBL,320.00,4800.00
PROFL,125.00,1875.00
SANIMA,273.00,4095.00
SBI,854.00,12810.00
