published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2010-09-16,117,122,116,120,nan,5280,0,0
2010-09-19,120,120,116,118,-1.67,2648,0,0
2010-09-20,118,119,116,118,0,2346,0,0
2010-09-21,118,118,115,116,-1.69,7160,0,0
2010-09-23,116,120,117,120,3.45,8417,0,0
2010-09-26,120,122,117,121,0.83,9541,0,0
2010-09-27,121,122,116,119,-1.65,10433,0,0
2010-09-28,119,120,119,119,0,2682,0,0
2010-09-29,119,120,117,119,0,2561,0,0
2010-09-30,119,120,117,119,0,1912,0,0
2010-10-03,119,121,117,119,0,8420,0,0
2010-10-04,119,123,119,123,3.36,13295,0,0
2010-10-05,123,130,121,130,5.69,7513,0,0
2010-10-06,130,130,124,126,-3.08,6423,0,0
2010-10-07,126,134,126,132,4.76,9889,0,0
2010-10-10,132,136,132,135,2.27,2830,0,0
2010-10-11,135,135,129,130,-3.7,4120,0,0
2010-10-12,130,133,129,133,2.31,881,0,0
2010-10-13,133,135,133,134,0.75,890,0,0
2010-10-21,134,134,131,134,0,590,0,0
2010-10-24,134,135,130,134,0,2628,0,0
2010-10-25,134,137,132,136,1.49,3285,0,0
2010-10-26,136,138,134,135,-0.74,3381,0,0
2010-10-27,135,135,132,135,0,9094,0,0
2010-10-28,135,148,135,145,7.41,21662,0,0
2010-10-31,145,149,138,145,0,8172,0,0
2010-11-01,145,147,141,146,0.69,16240,0,0
2010-11-02,146,147,142,145,-0.68,6760,0,0
2010-11-03,145,151,146,149,2.76,9278,0,0
2010-11-04,149,154,147,153,2.68,5401,0,0
2010-11-09,153,159,148,159,3.92,5893,0,0
2010-11-10,159,167,151,161,1.26,7474,0,0
2010-11-11,161,169,160,166,3.11,6535,0,0
2010-11-14,166,172,162,163,-1.81,3445,0,0
2010-11-15,163,162,158,160,-1.84,3983,0,0
2010-11-16,160,164,159,162,1.25,2641,0,0
2010-11-18,162,165,160,161,-0.62,3731,0,0
2010-11-21,161,164,160,162,0.62,14538,0,0
2010-11-22,162,165,158,162,0,7358,0,0
2010-11-23,162,166,160,163,0.62,10742,0,0
2010-11-24,163,166,161,165,1.23,4943,0,0
2010-11-25,165,171,160,171,3.64,11689,0,0
2010-11-28,171,168,160,160,-6.43,4635,0,0
2010-11-29,160,163,155,156,-2.5,2778,0,0
2010-11-30,156,160,153,155,-0.64,5139,0,0
2010-12-01,155,157,148,152,-1.94,4971,0,0
2010-12-02,152,157,144,144,-5.26,2779,0,0
2010-12-05,144,144,138,138,-4.17,9343,0,0
2010-12-06,138,145,138,145,5.07,1098,0,0
2010-12-07,145,143,131,138,-4.83,4186,0,0
2010-12-08,138,136,133,135,-2.17,3925,0,0
2010-12-09,135,139,133,137,1.48,5690,0,0
2010-12-12,137,138,132,137,0,11296,0,0
2010-12-13,137,137,134,137,0,7755,0,0
2010-12-14,137,139,137,137,0,6063,0,0
2010-12-15,137,137,133,134,-2.19,3341,0,0
2010-12-16,134,136,132,136,1.49,3645,0,0
2010-12-19,136,136,131,136,0,6516,0,0
2010-12-20,136,138,134,134,-1.47,8991,0,0
2010-12-22,134,136,133,134,0,731,0,0
2010-12-23,134,137,134,135,0.75,3227,0,0
2010-12-26,135,140,135,140,3.7,2626,0,0
2010-12-27,140,142,138,140,0,978,0,0
2010-12-28,140,142,139,142,1.43,3520,0,0
2010-12-29,142,144,142,143,0.7,1534,0,0
2011-01-02,143,145,134,136,-4.9,10768,0,0
2011-01-03,136,140,135,137,0.74,4292,0,0
2011-01-03,137,131,124,131,-4.38,4755,0,0
2011-01-04,131,139,133,139,6.11,5048,0,0
2011-01-05,139,140,132,132,-5.04,5588,0,0
2011-01-06,132,140,132,140,6.06,590,0,0
2011-01-09,140,140,136,139,-0.71,1532,0,0
2011-01-10,139,142,137,141,1.44,7614,0,0
2011-01-11,141,142,136,142,0.71,3488,0,0
2011-01-12,142,141,139,141,-0.7,3193,0,0
2011-01-13,141,140,138,138,-2.13,3867,0,0
2011-01-16,138,140,134,136,-1.45,4369,0,0
2011-01-17,136,136,132,135,-0.74,7990,0,0
2011-01-18,135,137,132,135,0,11563,0,0
2011-01-19,135,137,133,135,0,4558,0,0
2011-01-20,135,135,133,135,0,3307,0,0
2011-01-23,135,137,134,137,1.48,1635,0,0
2011-01-24,137,143,137,143,4.38,3781,0,0
2011-01-31,143,143,143,143,0,148,0,0
2011-02-01,143,143,138,141,-1.4,9665,0,0
2011-02-02,141,143,135,137,-2.84,2411,0,0
2011-02-03,137,140,137,140,2.19,4730,0,0
2011-02-06,140,147,138,139,-0.71,3810,0,0
2011-02-07,139,142,139,141,1.44,5215,0,0
2011-02-08,141,144,141,143,1.42,3470,0,0
2011-02-09,143,145,140,145,1.4,2377,0,0
2011-02-10,145,146,142,142,-2.07,1568,0,0
2011-02-13,142,142,137,138,-2.82,2561,0,0
2011-02-14,138,141,135,138,0,5028,0,0
2011-02-15,138,139,138,138,0,1835,0,0
2011-02-16,138,141,136,139,0.72,2565,0,0
2011-02-17,139,140,136,139,0,1957,0,0
2011-02-20,139,139,138,139,0,3920,0,0
2011-02-21,139,139,135,135,-2.88,2290,0,0
2011-02-22,135,137,133,133,-1.48,1587,0,0
