Stock,Initial_Buy_Date,Initial_Qty,Initial_Price,Initial_Value,Dec 30 2025 Qty,Dec 30 2025 Price,Dec 30 2025 Value
ADBL,"Jan 01, 2013",15,238.0,3570.0,0,294.4,0.0
AHPC,"Jan 01, 2013",15,322.0,4830.0,0,275.0,0.0
ALICL,"Jan 01, 2013",15,239.0,3585.0,0,464.5,0.0
BPCL,"Jan 01, 2013",15,805.0,12075.0,0,727.0,0.0
CFCL,"May 22, 2014",15,197.0,2955.0,0,477.0,0.0
CHCL,"Jan 01, 2013",15,1150.0,17250.0,71,501.5,35606.5
CIT,"Jan 01, 2013",15,1400.0,21000.0,0,1837.0,0.0
CORBL,"Nov 27, 2013",15,104.0,1560.0,0,1580.0,0.0
CZBIL,"Jan 01, 2013",15,285.0,4275.0,0,195.8,0.0
EBL,"Jan 01, 2013",15,1359.0,20385.0,0,657.5,0.0
EDBL,"Jan 30, 2013",15,273.0,4095.0,0,589.0,0.0
GBBL,"Jan 01, 2013",15,180.0,2700.0,0,382.6,0.0
GBIME,"Jan 01, 2013",15,411.0,6165.0,0,229.9,0.0
GFCL,"Jul 29, 2013",15,106.0,1590.0,0,584.8,0.0
GMFIL,"Feb 04, 2013",15,198.0,2970.0,95,459.8,43681.0
HBL,"Jan 01, 2013",15,805.0,12075.0,0,189.1,0.0
ICFC,"Jan 01, 2013",45,126.67,5700.0,66,636.5,42009.0
JBBL,"Jan 02, 2013",165,79.64,13140.0,0,323.9,0.0
JFL,"Jan 03, 2013",60,274.0,16440.0,0,411.0,0.0
KBL,"Jan 01, 2013",15,282.0,4230.0,0,180.0,0.0
LICN,"Jan 02, 2013",75,952.6,71445.0,37,895.0,33115.0
MBL,"Jan 01, 2013",15,230.0,3450.0,0,221.9,0.0
NABBC,"Nov 28, 2013",15,427.0,6405.0,49,1137.2,55722.8
NABIL,"Jan 01, 2013",15,1660.0,24900.0,0,506.5,0.0
NHPC,"Apr 17, 2013",30,55.0,1650.0,0,190.0,0.0
NMB,"Jan 01, 2013",15,270.0,4050.0,0,237.0,0.0
PCBL,"Jan 01, 2013",15,320.0,4800.0,175,262.4,45920.0
PROFL,"Apr 21, 2014",15,125.0,1875.0,0,453.0,0.0
SANIMA,"Jan 01, 2013",30,265.5,7965.0,0,319.9,0.0
SBI,"Jan 01, 2013",15,854.0,12810.0,110,395.0,43450.0
TOTAL,,765,,299940.0,603,,299504.3
