Date,Stock Name,Action,Quantity,Price,Amount,Cash,TMS Khata Value,Portfolio Value,Profit/Loss,Gain %,Reason
"Jan 01, 2015",ADBL,SELL,15,479.0,7185.0,(60.0 + 7185.0 = 7245.0),596310.0,603555.0,3615.0,+101.26%,[Profit Booking] Target Achieved: +101.26% gain. (Market Health: 33.3%)
"Jan 01, 2015",ALICL,SELL,15,1112.0,16680.0,23925.0,592725.0,616650.0,13095.0,+365.27%,[Profit Booking] Target Achieved: +365.27% gain. (Market Health: 33.3%)
"Jan 01, 2015",BPCL,SELL,15,555.0,8325.0,32250.0,580650.0,612900.0,-3750.0,-31.06%,[Stop Loss] Stop-Loss hit at -31.06%. (Market Health: 33.3%)
"Jan 01, 2015",CIT,SELL,15,2980.0,44700.0,76950.0,559650.0,636600.0,23700.0,+112.86%,[Profit Booking] Target Achieved: +112.86% gain. (Market Health: 33.3%)
"Jan 01, 2015",EDBL,SELL,15,510.0,7650.0,84600.0,555555.0,640155.0,3555.0,+86.81%,[Profit Booking] Target Achieved: +86.81% gain. (Market Health: 33.3%)
"Jan 01, 2015",GBBL,SELL,15,308.0,4620.0,89220.0,552855.0,642075.0,1920.0,+71.11%,[Profit Booking] Target Achieved: +71.11% gain. (Market Health: 33.3%)
"Jan 01, 2015",ICFC,SELL,45,237.0,10665.0,99885.0,547155.0,647040.0,4965.0,+87.11%,[Profit Booking] Target Achieved: +87.11% gain. (Market Health: 33.3%)
"Jan 01, 2015",JBBL,SELL,165,149.0,24585.0,124470.0,534015.0,658485.0,11445.0,+87.10%,[Profit Booking] Target Achieved: +87.10% gain. (Market Health: 33.3%)
"Jan 01, 2015",LICN,SELL,75,3080.0,231000.0,355470.0,462570.0,818040.0,159555.0,+223.33%,[Profit Booking] Target Achieved: +223.33% gain. (Market Health: 33.3%)
"Jan 01, 2015",MBL,SELL,15,550.0,8250.0,363720.0,459120.0,822840.0,4800.0,+139.13%,[Profit Booking] Target Achieved: +139.13% gain. (Market Health: 33.3%)
"Jan 01, 2015",NHPC,SELL,30,123.0,3690.0,367410.0,457470.0,824880.0,2040.0,+123.64%,[Profit Booking] Target Achieved: +123.64% gain. (Market Health: 33.3%)
"Jan 01, 2015",SANIMA,SELL,30,526.0,15780.0,383190.0,449505.0,832695.0,7815.0,+98.12%,[Profit Booking] Target Achieved: +98.12% gain. (Market Health: 33.3%)
"Jan 04, 2015",CFCL,SELL,15,153.0,2295.0,385485.0,446550.0,832035.0,-660.0,-22.34%,[Stop Loss] Stop-Loss hit at -22.34%. (Market Health: 39.1%)
"Jan 04, 2015",CZBIL,SELL,15,433.0,6495.0,391980.0,442275.0,834255.0,2220.0,+51.93%,[Profit Booking] Target Achieved: +51.93% gain. (Market Health: 39.1%)
"Jan 05, 2015",MBL,BUY,80,560.0,44800.0,347180.0,487075.0,834255.0,0.0,0.00%,"[Quant Buy] Confidence 75/100: Strong Uptrend, Stable RSI, Positive Momentum, Volume Breakout (Market Health: 47.6%)"
"Jan 05, 2015",ADBL,BUY,86,487.0,41882.0,305298.0,528957.0,834255.0,0.0,0.00%,"[Quant Buy] Confidence 70/100: Strong Uptrend, Stable RSI, Positive Momentum, Golden Cross (Market Health: 47.6%)"
"Jan 08, 2015",CZBIL,BUY,103,434.0,44702.0,260596.0,573659.0,834255.0,0.0,0.00%,"[Quant Buy] Confidence 75/100: Strong Uptrend, Stable RSI, Positive Momentum, Volume Breakout (Market Health: 54.5%)"
"Jan 08, 2015",CFCL,BUY,241,151.0,36391.0,224205.0,610050.0,834255.0,0.0,0.00%,"[Quant Buy] Confidence 70/100: Strong Uptrend, Stable RSI, Positive Momentum, Golden Cross (Market Health: 54.5%)"
"Jan 11, 2015",PCBL,SELL,15,446.0,6690.0,230895.0,605250.0,836145.0,1890.0,+39.38%,[Trend Breakdown] Death Cross: SMA20 crossed below SMA50. (Market Health: 54.2%)
"Jan 13, 2015",ALICL,BUY,31,1230.0,38130.0,192765.0,643380.0,836145.0,0.0,0.00%,"[Quant Buy] Confidence 85/100: Strong Uptrend, Positive Momentum, Volume Breakout, Golden Cross, Healthy Market Index (Market Health: 71.4%)"
"Jan 13, 2015",SANIMA,BUY,45,546.0,24570.0,168195.0,667950.0,836145.0,0.0,0.00%,"[Quant Buy] Confidence 65/100: Strong Uptrend, Stable RSI, Positive Momentum, Healthy Market Index (Market Health: 71.4%)"
"Jan 19, 2015",CHCL,SELL,15,1750.0,26250.0,194445.0,650700.0,845145.0,9000.0,+52.17%,[Profit Booking] Target Achieved: +52.17% gain. (Market Health: 84.0%)
"Jan 19, 2015",EBL,SELL,15,2090.0,31350.0,225795.0,630315.0,856110.0,10965.0,+53.79%,[Profit Booking] Target Achieved: +53.79% gain. (Market Health: 84.0%)
"Jan 19, 2015",JFL,SELL,60,436.0,26160.0,251955.0,613875.0,865830.0,9720.0,+59.12%,[Profit Booking] Target Achieved: +59.12% gain. (Market Health: 84.0%)
"Jan 20, 2015",GBBL,BUY,92,355.0,32660.0,219295.0,646535.0,865830.0,0.0,0.00%,"[Quant Buy] Confidence 65/100: Strong Uptrend, Positive Momentum, Golden Cross, Healthy Market Index (Market Health: 83.3%)"
"Jan 25, 2015",NHPC,BUY,243,126.0,30618.0,188677.0,677153.0,865830.0,0.0,0.00%,"[Quant Buy] Confidence 70/100: Strong Uptrend, Stable RSI, Golden Cross, Healthy Market Index (Market Health: 82.6%)"
"Jan 27, 2015",GFCL,SELL,15,253.0,3795.0,192472.0,675563.0,868035.0,2205.0,+138.68%,[Profit Booking] Target Achieved: +138.68% gain. (Market Health: 84.0%)
